"Song Title",Streams,Daily,"Streams Vortag","Diff. Streams","Daily Vortag","Diff Daily"
"Dusk Till Dawn (feat. Sia) - Radio Edit",2170298310,613793,2170298310,0,613793,0
"I Don’t Wanna Live Forever (Fifty Shades Darker)",2087026304,587510,2087026304,0,587510,0
PILLOWTALK,1688467918,567404,1688467918,0,567404,0
"Trampoline (with ZAYN)",593203063,52913,593203063,0,52913,0
"A Whole New World (End Title) - From ""Aladdin""",380198190,41692,380198190,0,41692,0
"Let Me",356897858,43383,356897858,0,43383,0
"Still Got Time (feat. PARTYNEXTDOOR)",302492019,11145,302492019,0,11145,0
"LIKE I WOULD",287956852,21139,287956852,0,21139,0
"fOoL fOr YoU",262073682,25998,262073682,0,25998,0
Entertainer,219580466,26689,219580466,0,26689,0
"There You Are",201249385,26163,201249385,0,26163,0
Better,174356371,11427,174356371,0,11427,0
Vibez,170985521,14638,170985521,0,14638,0
"wRoNg (feat. Kehlani)",164598889,22101,164598889,0,22101,0
"Good Years",162586210,6793,162586210,0,6793,0
TiO,154587565,34926,154587565,0,34926,0
"EYES CLOSED (with ZAYN)",136408475,351646,136408475,0,351646,0
"Cruel (feat. ZAYN)",130587771,11254,130587771,0,11254,0
"iT's YoU",124083037,11615,124083037,0,11615,0
Flames,108301009,7605,108301009,0,7605,0
Sweat,101658002,39406,101658002,0,39406,0
BeFoUr,89757619,10544,89757619,0,10544,0
"Back To Sleep REMIX (feat. Usher & ZAYN)",79282280,7403,79282280,0,7403,0
"Love Like This",74964776,13616,74964776,0,13616,0
sHe,73910070,10944,73910070,0,10944,0
dRuNk,72843177,24445,72843177,0,24445,0
Fingers,72019225,3664,72019225,0,3664,0
"Too Much (feat. Timbaland)",71368245,4085,71368245,0,4085,0
BoRdErSz,68875129,14778,68875129,0,14778,0
"Dusk Till Dawn (feat. Sia) - Brooks Remix",59778142,2838,59778142,0,2838,0
"rEaR vIeW",56700478,6059,56700478,0,6059,0
Tightrope,52993442,8826,52993442,0,8826,0
"No Candle No Light (feat. Nicki Minaj)",52436176,2446,52436176,0,2446,0
"Rumors (feat. ZAYN)",50266459,13435,50266459,0,13435,0
Rainberry,48520138,3524,48520138,0,3524,0
Common,48207647,9241,48207647,0,9241,0
"Back To Life",41408202,14142,41408202,0,14142,0
Stardust,38467429,21870,38467429,0,21870,0
Outside,33810543,4992,33810543,0,4992,0
"What I Am",33594836,10523,33594836,0,10523,0
"Sour Diesel",32965961,2941,32965961,0,2941,0
lUcOzAdE,32849154,3329,32849154,0,3329,0
"SHE DON'T LOVE ME",32800589,3512,32800589,0,3512,0
"To Begin Again",31626445,3886,31626445,0,3886,0
BLUE,29966864,2814,29966864,0,2814,0
BRIGHT,29786883,2876,29786883,0,2876,0
Tonight,28635029,5767,28635029,0,5767,0
tRuTh,27499768,2894,27499768,0,2894,0
"PILLOWTALK - the living room session",27358352,575,27358352,0,575,0
Alienated,26461898,10540,26461898,0,10540,0
"MiNd Of MiNdd (Intro)",25822483,2545,25822483,0,2545,0
"Flight Of The Stars",25791079,4262,25791079,0,4262,0
Natural,25505062,3550,25505062,0,3550,0
"Dusk Till Dawn (feat. Sia) - John ""J-C"" Carr Mix",24897125,500,24897125,0,500,0
"INTERMISSION: fLoWer",23393768,1965,23393768,0,1965,0
Connexion,22996127,2071,22996127,0,2071,0
Unfuckwitable,22434281,3905,22434281,0,3905,0
"When Love's Around (feat. Syd)",22296053,2821,22296053,0,2821,0
Calamity,21903100,2627,21903100,0,2627,0
"River Road",21735256,2403,21735256,0,2403,0
"Tu hai kahan (feat. ZAYN)",21264538,2229,21264538,0,2229,0
"I Don't Mind",20932353,3027,20932353,0,3027,0
"Talk To Me",20779129,2904,20779129,0,2904,0
Insomnia,20234360,2820,20234360,0,2820,0
"PILLOWTALK REMIX (feat. Lil Wayne)",20185948,1044,20185948,0,1044,0
"Un mundo ideal (Versión Créditos)",20172665,3083,20172665,0,3083,0
"If I Got You",19963443,2994,19963443,0,2994,0
"Windowsill (feat. Devlin)",19914072,2176,19914072,0,2176,0
Imprint,19866285,2676,19866285,0,2676,0
Satisfaction,19039260,2268,19039260,0,2268,0
Scripted,18813316,3343,18813316,0,3343,0
wHo,17545830,2320,17545830,0,2320,0
"Stand Still",17289486,2067,17289486,0,2067,0
"You Wish You Knew",15232737,1946,15232737,0,1946,0
"All That",14879138,2129,14879138,0,2129,0
"LIKE I WOULD - The White Panda Remix",14604406,394,14604406,0,394,0
"Lied To",14079492,12349,14079492,0,12349,0
"Icarus Interlude",13465890,1686,13465890,0,1686,0
"Good Guy",13201005,1324,13201005,0,1324,0
Freedun,13120371,660,13120371,0,660,0
"Dusk Till Dawn (feat. Sia) - Luca Lush Remix",12513980,235,12513980,0,235,0
"Fresh Air",11096780,1355,11096780,0,1355,0
Dreamin,10465018,5307,10465018,0,5307,0
"Die For Me",10454390,182808,10454390,0,182808,0
"Dusk Till Dawn (feat. Sia)",9656934,3515,9656934,0,3515,0
"False Starts",8955874,7838,8955874,0,7838,0
"My Woman",8009849,3635,8009849,0,3635,0
"Trampoline - Joel Corry Remix",7954359,384,7954359,0,384,0
"Birds On A Cloud",7267135,4951,7267135,0,4951,0
Grateful,6905676,3195,6905676,0,3195,0
Angel,6722990,901,6722990,0,901,0
"How It Feels",6717203,3211,6717203,0,3211,0
"Something In The Water",6576438,3379,6576438,0,3379,0
"Flames - Steve Aoki Remix",6087646,306,6087646,0,306,0
"Shoot At Will",5751339,2830,5751339,0,2830,0
"Concrete Kisses",5684568,3648,5684568,0,3648,0
"Flames - R3HAB & Skytech VIP Remix",5620125,224,5620125,0,224,0
"LIKE I WOULD - Troyboi Remix",5567941,902,5567941,0,902,0
"The Time",5526152,3148,5526152,0,3148,0
"Flames - GATTÜSO Remix",5365362,177,5365362,0,177,0
"Gates Of Hell",4927961,2250,4927961,0,2250,0
"Fuchsia Sea",4823656,2581,4823656,0,2581,0
"Trampoline - Dave Audé Remix",4708297,121,4708297,0,121,0
"Fire Inside",4445526,1031,4445526,0,1031,0
"Flames - Frank Walker Remix",4368762,194,4368762,0,194,0
"Ignorance Ain't Bliss - Demo",3930220,3029,3930220,0,3029,0
"In The Bag",3699921,2932,3699921,0,2932,0
"LIKE I WOULD - Dave Audé Mix",3468345,76,3468345,0,76,0
Unf**kwitable,3428105,219,3428105,0,219,0
"Love Like This - Mura Masa Remix",2726323,387,2726323,0,387,0
"LIKE I WOULD - Oliver Nelson Remix",2719868,144,2719868,0,144,0
Gave,2674197,2258,2674197,0,2258,0
"LIKE I WOULD - Lenno Remix",1642746,46,1642746,0,46,0
"EYES CLOSED (with ZAYN) - 2X",1528136,7259,1528136,0,7259,0
