Rank,"Song Title",Streams,Daily
1,"Dusk Till Dawn (feat. Sia) - Radio Edit",2185169695,684125
2,"I Don't Wanna Live Forever (Fifty Shades Darker)",2102134547,624986
3,PILLOWTALK,1702781455,592639
4,"Trampoline (with ZAYN)",594653374,63366
5,"A Whole New World (End Title) - From ""Aladdin""",381263378,41818
6,"Let Me",358050345,51980
7,"Still Got Time (feat. PARTYNEXTDOOR)",302795043,13919
8,"LIKE I WOULD",288550494,28084
9,"fOoL fOr YoU",262749131,29452
10,Entertainer,220305729,31331
11,"There You Are",201937237,29433
12,Better,174668979,14042
13,Vibez,171372487,16976
14,"wRoNg (feat. Kehlani)",165169863,25750
15,"Good Years",162767901,8247
16,TiO,155522333,39877
17,"EYES CLOSED (with ZAYN)",144626503,361620
18,"Cruel (feat. ZAYN)",130813032,8449
19,"iT's YoU",124378905,13582
20,Flames,108496684,8763
21,Sweat,102568882,37127
22,BeFoUr,90042120,13327
23,"Back To Sleep REMIX (feat. Usher & ZAYN)",79479745,8580
24,"Love Like This",75361410,17946
25,sHe,74178159,11880
26,dRuNk,73481460,26344
27,Fingers,72115715,4559
28,"Too Much (feat. Timbaland)",71482056,5261
29,BoRdErSz,69223754,16070
30,"Dusk Till Dawn (feat. Sia) - Brooks Remix",59853804,3453
31,"rEaR vIeW",56861162,7613
32,Tightrope,53213380,9568
33,"No Candle No Light (feat. Nicki Minaj)",52505540,3228
34,"Rumors (feat. ZAYN)",50571637,9702
35,Rainberry,48611473,4301
36,Common,48451412,10509
37,"Back To Life",41778288,15777
38,Stardust,39151346,29841
39,Outside,33950483,6096
40,"What I Am",33872006,12599
41,"Sour Diesel",33042336,3468
42,lUcOzAdE,32934709,3962
43,"SHE DON'T LOVE ME",32894442,4357
44,"To Begin Again",31720112,4235
45,BLUE,30037130,3428
46,BRIGHT,29861114,3586
47,Tonight,28788245,6417
48,tRuTh,27572116,3391
49,"PILLOWTALK - the living room session",27376650,848
50,Alienated,26741603,12721
51,"Flight Of The Stars",25899504,4985
52,"MiNd Of MiNdd (Intro)",25883962,3250
53,Natural,25597604,4074
54,"Dusk Till Dawn (feat. Sia) - John ""J-C"" Carr Mix",24911168,623
55,"INTERMISSION: fLoWer",23452089,2670
56,Connexion,23048741,2457
57,Unfuckwitable,22536529,4697
58,"When Love's Around (feat. Syd)",22367493,3292
59,Calamity,21964608,2789
60,"River Road",21799507,2979
61,"Tu hai kahan (feat. ZAYN)",21321212,2728
62,"I Don't Mind",21014432,3731
63,"Talk To Me",20858273,3519
64,Insomnia,20307089,3286
65,"Un mundo ideal (Versión Créditos)",20255705,3680
66,"PILLOWTALK REMIX (feat. Lil Wayne)",20214776,1298
67,"If I Got You",20043795,3671
68,"Windowsill (feat. Devlin)",19973947,2806
69,Imprint,19937769,3105
70,Satisfaction,19097676,2841
71,Scripted,18898704,4026
72,wHo,17598944,2302
73,"Stand Still",17346920,2662
74,"You Wish You Knew",15284430,2322
75,"All That",14934393,2601
76,"LIKE I WOULD - The White Panda Remix",14615090,522
77,"Die For Me",14583736,145290
78,"Lied To",14398653,14668
79,"Icarus Interlude",13513615,2227
80,"Good Guy",13247630,2249
81,Freedun,13140058,623
82,"Dusk Till Dawn (feat. Sia) - Luca Lush Remix",12520674,293
83,"Fresh Air",11134279,1783
84,Dreamin,10606257,6268
85,"Dusk Till Dawn (feat. Sia)",9703282,696
86,"False Starts",9182059,10339
87,"My Woman",8114717,4472
88,"Trampoline - Joel Corry Remix",7958129,377
89,"Birds On A Cloud",7412920,6158
90,Grateful,6991649,3806
91,"How It Feels",6799449,3689
92,Angel,6745987,1033
93,"Something In The Water",6663479,4011
94,"Flames - Steve Aoki Remix",6096522,364
95,"Shoot At Will",5825247,3217
96,"Concrete Kisses",5769067,4030
97,"Flames - R3HAB & Skytech VIP Remix",5626850,328
98,"The Time",5612753,3774
99,"LIKE I WOULD - Troyboi Remix",5588570,826
100,"Flames - GATTÜSO Remix",5370164,200
101,"Gates Of Hell",4987048,2673
102,"Fuchsia Sea",4891916,3125
103,"Trampoline - Dave Audé Remix",4711930,181
104,"Fire Inside",4462662,833
105,"Flames - Frank Walker Remix",4374136,248
106,"Ignorance Ain't Bliss - Demo",4020942,4076
107,"In The Bag",3775158,3205
108,"LIKE I WOULD - Dave Audé Mix",3471004,125
109,Unf**kwitable,3433679,229
110,Gave,2736214,2884
111,"Love Like This - Mura Masa Remix",2736050,456
112,"LIKE I WOULD - Oliver Nelson Remix",2723722,193
113,"LIKE I WOULD - Lenno Remix",1643947,66
114,"EYES CLOSED (with ZAYN) - 2X",1635081,3510
115,"LIKE I WOULD - Rytmeklubben Remix",1434292,81
116,"Alienated - Demo",1246756,1014
117,"LIKE I WOULD - Sharam Jey Remix",1196785,57
118,"EYES CLOSED (with ZAYN) - 0.5X",1148633,2290
119,"EYES CLOSED (with ZAYN) - BARE",1020839,9915
120,"Trampoline (Joel Corry Remix) - Extended Mix",546091,48
121,"EYES CLOSED (with ZAYN) - UNVEILED",392165,1573
