Rank,"Song Title",Streams,Daily
1,"Dusk Till Dawn (feat. Sia) - Radio Edit",2162590503,763667
2,"I Don't Wanna Live Forever (Fifty Shades Darker)",2079936330,730507
3,PILLOWTALK,1681292411,734484
4,"*Trampoline (with ZAYN)",592499632,69387
5,"A Whole New World (End Title) - From ""Aladdin""",379687415,51904
6,"Let Me",356340583,59710
7,"Still Got Time (feat. PARTYNEXTDOOR)",302344800,14750
8,"LIKE I WOULD",287659047,31396
9,"fOoL fOr YoU",261728997,33997
10,Entertainer,219214939,36172
11,"There You Are",200906879,35490
12,Better,174202287,16011
13,Vibez,170784914,21005
14,"wRoNg (feat. Kehlani)",164303631,29287
15,"Good Years",162496092,9231
16,TiO,154090235,51993
17,"*EYES CLOSED (with ZAYN)",132680903,346224
18,"*Cruel (feat. ZAYN)",130587771,11254
19,"iT's YoU",123924894,16704
20,*Flames,108205819,9270
21,Sweat,101178570,47131
22,BeFoUr,89610839,15423
23,"*Back To Sleep REMIX (feat. Usher & ZAYN)",79184129,8992
24,"Love Like This",74761559,22335
25,sHe,73769204,15822
26,dRuNk,72512671,35158
27,Fingers,71971072,5017
28,"Too Much (feat. Timbaland)",71313129,5781
29,BoRdErSz,68686137,19228
30,"Dusk Till Dawn (feat. Sia) - Brooks Remix",59742525,3076
31,"rEaR vIeW",56615585,8734
32,Tightrope,52874028,13176
33,"No Candle No Light (feat. Nicki Minaj)",52402250,3501
34,"*Rumors (feat. ZAYN)",50132103,12654
35,Rainberry,48473303,4977
36,Common,48079602,13814
37,"Back To Life",41209766,22484
38,Stardust,38159688,31023
39,Outside,33739439,8023
40,"What I Am",33441995,16775
41,"Sour Diesel",32926817,4169
42,lUcOzAdE,32803772,4710
43,"SHE DON'T LOVE ME",32750211,5355
44,"*To Begin Again",31578072,4966
45,BLUE,29929735,3979
46,BRIGHT,29747407,4180
47,Tonight,28556580,8282
48,tRuTh,27460122,4164
49,"PILLOWTALK - the living room session",27349194,907
50,Alienated,26307960,16500
51,"MiNd Of MiNdd (Intro)",25789176,3712
52,"Flight Of The Stars",25733818,5850
53,Natural,25458455,4535
54,"Dusk Till Dawn (feat. Sia) - John ""J-C"" Carr Mix",24890202,605
55,"INTERMISSION: fLoWer",23364624,3295
56,Connexion,22968422,2883
57,Unfuckwitable,22379096,6177
58,"When Love's Around (feat. Syd)",22258825,3959
59,Calamity,21870286,3465
60,"River Road",21700188,3564
61,"*Tu hai kahan (feat. ZAYN)",21236812,3323
62,"I Don't Mind",20889457,4564
63,"Talk To Me",20738338,4324
64,Insomnia,20196793,3973
65,"PILLOWTALK REMIX (feat. Lil Wayne)",20171957,1236
66,"Un mundo ideal (Versión Créditos)",20132107,4174
67,"If I Got You",19922620,4392
68,"Windowsill (feat. Devlin)",19881951,3277
69,Imprint,19827833,4104
70,Satisfaction,19009161,3103
71,Scripted,18764164,5355
72,wHo,17515770,3116
73,"Stand Still",17259893,3461
74,"You Wish You Knew",15205777,2949
75,"All That",14850518,3299
76,"LIKE I WOULD - The White Panda Remix",14599424,483
77,"Lied To",13900448,17699
78,"Icarus Interlude",13442290,2604
79,"Good Guy",13177383,2570
80,*Freedun,13115749,792
81,"Dusk Till Dawn (feat. Sia) - Luca Lush Remix",12510846,322
82,"Fresh Air",11077293,2127
83,Dreamin,10388147,8714
84,"You Can't Hide / You Can't Hide From Yourself (Touch of Class GMF Remix)",9952366,470
85,"Dusk Till Dawn (feat. Sia)",9615840,3811
86,"False Starts",8837482,13279
87,"My Woman",7953931,6358
88,"*Trampoline - Joel Corry Remix",7948215,423
89,"Die For Me",7581558,338108
90,"Birds On A Cloud",7196663,8439
91,Grateful,6859867,5199
92,*Angel,6711137,1151
93,"How It Feels",6672626,5116
94,"Something In The Water",6529123,5709
95,"*Flames - Steve Aoki Remix",6083296,456
96,"Shoot At Will",5710452,4796
97,"Concrete Kisses",5636259,5150
98,"*Flames - R3HAB & Skytech VIP Remix",5616808,371
99,"LIKE I WOULD - Troyboi Remix",5557967,944
100,"The Time",5479925,5560
101,"*Flames - GATTÜSO Remix",5363067,237
102,"Gates Of Hell",4894764,3666
103,"Fuchsia Sea",4787108,4046
104,"*Trampoline - Dave Audé Remix",4706623,178
105,"*Fire Inside",4435213,1307
106,"*Flames - Frank Walker Remix",4366285,268
107,"Ignorance Ain't Bliss - Demo",3884103,5363
108,"In The Bag",3657331,4613
109,"LIKE I WOULD - Dave Audé Mix",3467113,134
110,Unf**kwitable,3425135,357
111,"Love Like This - Mura Masa Remix",2721497,512
112,"LIKE I WOULD - Oliver Nelson Remix",2718059,195
113,Gave,2639205,4076
114,"LIKE I WOULD - Lenno Remix",1642171,68
115,"*EYES CLOSED (with ZAYN) - 2X",1476138,3703
116,"LIKE I WOULD - Rytmeklubben Remix",1432478,71
117,"Alienated - Demo",1212783,1311
118,"LIKE I WOULD - Sharam Jey Remix",1194973,59
119,"*EYES CLOSED (with ZAYN) - 0.5X",1062603,2604
120,"*EYES CLOSED (with ZAYN) - BARE",915773,2831
121,"*Trampoline (Joel Corry Remix) - Extended Mix",544776,74
122,"*EYES CLOSED (with ZAYN) - UNVEILED",342811,1322
