Rank,"Song Title",Streams,Daily
1,"Dusk Till Dawn (feat. Sia) - Radio Edit",2183823980,571919
2,"I Don't Wanna Live Forever (Fifty Shades Darker)",2100835018,569042
3,PILLOWTALK,1701555207,559479
4,"Trampoline (with ZAYN)",594526939,55691
5,"A Whole New World (End Title) - From ""Aladdin""",381180395,36791
6,"Let Me",357949766,37649
7,"Still Got Time (feat. PARTYNEXTDOOR)",302767668,11179
8,"LIKE I WOULD",288496156,21289
9,"fOoL fOr YoU",262690036,23465
10,Entertainer,220244380,23422
11,"There You Are",201878854,22367
12,Better,174641752,11089
13,Vibez,171338771,13820
14,"wRoNg (feat. Kehlani)",165120424,20731
15,"Good Years",162751870,6403
16,TiO,155445156,30067
17,"EYES CLOSED (with ZAYN)",143926177,284747
18,"Cruel (feat. ZAYN)",130813032,8449
19,"iT's YoU",124352496,10773
20,Flames,108479513,6910
21,Sweat,102493990,34833
22,BeFoUr,90016239,10145
23,"Back To Sleep REMIX (feat. Usher & ZAYN)",79462928,7497
24,"Love Like This",75326979,13187
25,sHe,74154813,9512
26,dRuNk,73428113,22849
27,Fingers,72106804,3448
28,"Too Much (feat. Timbaland)",71471883,3961
29,BoRdErSz,69193329,11989
30,"Dusk Till Dawn (feat. Sia) - Brooks Remix",59847014,2806
31,"rEaR vIeW",56846462,6031
32,Tightrope,53194030,8170
33,"No Candle No Light (feat. Nicki Minaj)",52499240,2545
34,"Rumors (feat. ZAYN)",50571637,9702
35,Rainberry,48603245,3329
36,Common,48431313,7542
37,"Back To Life",41746180,12259
38,Stardust,39091560,24141
39,Outside,33937944,4900
40,"What I Am",33847241,9753
41,"Sour Diesel",33035558,2701
42,lUcOzAdE,32927022,3090
43,"SHE DON'T LOVE ME",32886010,3246
44,"To Begin Again",31711760,3796
45,BLUE,30030397,2548
46,BRIGHT,29854250,2678
47,Tonight,28775350,5242
48,tRuTh,27565501,2611
49,"PILLOWTALK - the living room session",27374964,570
50,Alienated,26717272,9600
51,"Flight Of The Stars",25889785,3783
52,"MiNd Of MiNdd (Intro)",25877814,2172
53,Natural,25589798,3306
54,"Dusk Till Dawn (feat. Sia) - John ""J-C"" Carr Mix",24909936,547
55,"INTERMISSION: fLoWer",23446956,2025
56,Connexion,23043991,1766
57,Unfuckwitable,22527333,3471
58,"When Love's Around (feat. Syd)",22360963,2530
59,Calamity,21959115,2049
60,"River Road",21793843,2245
61,"Tu hai kahan (feat. ZAYN)",21315699,2677
62,"I Don't Mind",21007129,2744
63,"Talk To Me",20851299,2638
64,Insomnia,20300595,2464
65,"Un mundo ideal (Versión Créditos)",20248574,2988
66,"PILLOWTALK REMIX (feat. Lil Wayne)",20212291,1054
67,"If I Got You",20036659,2833
68,"Windowsill (feat. Devlin)",19968548,2103
69,Imprint,19931645,2498
70,Satisfaction,19092283,2089
71,Scripted,18890899,2987
72,wHo,17594728,2002
73,"Stand Still",17341808,2211
74,"You Wish You Knew",15279865,1791
75,"All That",14929410,1887
76,"LIKE I WOULD - The White Panda Remix",14614090,382
77,"Lied To",14370088,11157
78,"Die For Me",14295005,116957
79,"Icarus Interlude",13509219,1683
80,"Good Guy",13243287,1659
81,Freedun,13138850,602
82,"Dusk Till Dawn (feat. Sia) - Luca Lush Remix",12520088,270
83,"Fresh Air",11130957,1370
84,Dreamin,10593955,4955
85,"Dusk Till Dawn (feat. Sia)",9701902,697
86,"False Starts",9161618,8101
87,"My Woman",8105917,3250
88,"Trampoline - Joel Corry Remix",7958129,377
89,"Birds On A Cloud",7401059,4805
90,Grateful,6984068,2869
91,"How It Feels",6792105,2920
92,Angel,6743948,871
93,"Something In The Water",6655694,3353
94,"Flames - Steve Aoki Remix",6095794,304
95,"Shoot At Will",5818834,2587
96,"Concrete Kisses",5761366,2772
97,"Flames - R3HAB & Skytech VIP Remix",5626198,244
98,"The Time",5605022,3176
99,"LIKE I WOULD - Troyboi Remix",5586909,895
100,"Flames - GATTÜSO Remix",5369749,180
101,"Gates Of Hell",4981659,2081
102,"Fuchsia Sea",4885822,2400
103,"Trampoline - Dave Audé Remix",4711591,128
104,"Fire Inside",4462662,833
105,"Flames - Frank Walker Remix",4373665,189
106,"Ignorance Ain't Bliss - Demo",4012213,3218
107,"In The Bag",3768881,2523
108,"LIKE I WOULD - Dave Audé Mix",3470762,84
109,Unf**kwitable,3433215,202
110,"Love Like This - Mura Masa Remix",2735204,370
111,Gave,2730566,2083
112,"LIKE I WOULD - Oliver Nelson Remix",2723372,129
113,"LIKE I WOULD - Lenno Remix",1643842,43
114,"EYES CLOSED (with ZAYN) - 2X",1627552,3861
115,"LIKE I WOULD - Rytmeklubben Remix",1434155,42
116,"Alienated - Demo",1244728,775
117,"LIKE I WOULD - Sharam Jey Remix",1196680,39
118,"EYES CLOSED (with ZAYN) - 0.5X",1144037,2180
119,"EYES CLOSED (with ZAYN) - BARE",1007373,2484
120,"Trampoline (Joel Corry Remix) - Extended Mix",546091,48
121,"EYES CLOSED (with ZAYN) - UNVEILED",389169,1339
